T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
21.3,27.0,19.7,-,93.0,6.3,5.4,7.6,36.0
22.5,26.0,19.9,-,84.0,6.3,5.9,7.6,70.58333333333333
nan,nan,nan,nan,nan,nan,nan,nan,52.45833333333334
nan,nan,nan,nan,nan,nan,nan,nan,36.583333333333336
nan,nan,nan,nan,nan,nan,nan,nan,45.58333333333334
23.1,27.6,19.8,-,75.0,6.9,9.8,11.1,33.166666666666664
22.6,27.6,20.0,-,77.0,6.9,8.1,11.1,38.25
22.3,27.4,19.7,-,84.0,6.9,6.7,11.1,26.58333333333333
nan,nan,nan,nan,nan,nan,nan,nan,57.58333333333334
nan,nan,nan,nan,nan,nan,nan,nan,30.70833333333333
nan,nan,nan,nan,nan,nan,nan,nan,35.375
22.0,26.9,20.0,-,76.0,6.9,11.7,22.2,15.416666666666664
22.4,26.2,20.0,-,79.0,6.6,9.8,14.8,41.375
23.2,28.4,20.1,-,78.0,6.9,9.8,11.1,25.54166666666667
22.7,28.4,20.2,-,80.0,6.3,6.7,11.1,28.375
nan,nan,nan,nan,nan,nan,nan,nan,40.333333333333336
nan,nan,nan,nan,nan,nan,nan,nan,39.333333333333336
nan,nan,nan,nan,nan,nan,nan,nan,41.833333333333336
23.4,28.0,20.1,-,76.0,6.9,6.3,7.6,50.33333333333334
23.9,29.5,20.6,-,74.0,6.3,6.1,9.4,35.375
23.7,29.5,20.9,-,76.0,6.9,6.3,9.4,31.91666666666667
nan,nan,nan,nan,nan,nan,nan,nan,36.79166666666666
nan,nan,nan,nan,nan,nan,nan,nan,33.291666666666664
nan,nan,nan,nan,nan,nan,nan,nan,35.5
22.9,27.8,20.4,-,83.0,6.3,4.4,5.4,35.291666666666664
21.3,27.8,19.8,-,88.0,5.5,4.6,7.6,26.83333333333333
20.7,25.1,19.0,-,89.0,6.9,4.4,5.4,21.125
nan,nan,nan,nan,nan,nan,nan,nan,18.0
nan,nan,nan,nan,nan,nan,nan,nan,28.04166666666667
nan,nan,nan,nan,nan,nan,nan,nan,34.875
22.6,26.8,19.6,-,81.0,6.3,8.5,14.8,35.708333333333336
22.4,26.7,19.7,-,81.0,5.5,6.7,9.4,43.58333333333334
22.7,28.4,20.1,-,77.0,6.9,6.7,7.6,46.04166666666666
nan,nan,nan,nan,nan,nan,nan,nan,28.75
nan,nan,nan,nan,nan,nan,nan,nan,70.54166666666667
nan,nan,nan,nan,nan,nan,nan,nan,58.54166666666666
22.4,26.7,19.5,-,82.0,6.3,5.2,7.6,82.875
23.9,29.0,19.5,-,73.0,6.3,4.6,7.6,64.91666666666667
24.2,29.7,19.9,-,69.0,6.9,3.9,5.4,30.66666666666667
nan,nan,nan,nan,nan,nan,nan,nan,31.75
nan,nan,nan,nan,nan,nan,nan,nan,41.04166666666666
nan,nan,nan,nan,nan,nan,nan,nan,45.25
24.6,30.1,21.9,-,77.0,6.9,1.5,5.4,34.416666666666664
24.3,30.8,19.2,-,72.0,6.9,0.9,3.5,33.166666666666664
23.9,31.4,19.0,-,76.0,6.9,1.5,5.4,30.625
22.9,31.4,19.5,-,80.0,6.9,3.7,11.1,30.33333333333333
nan,nan,nan,nan,nan,nan,nan,nan,31.75
nan,nan,nan,nan,nan,nan,nan,nan,34.208333333333336
nan,nan,nan,nan,nan,nan,nan,nan,11.625
22.2,27.7,20.0,-,85.0,6.3,4.8,7.6,0.0
21.8,25.4,19.5,-,89.0,5.5,2.8,5.4,0.0
21.7,25.4,19.1,-,84.0,5.5,3.3,5.4,0.0
nan,nan,nan,nan,nan,nan,nan,nan,0.0
nan,nan,nan,nan,nan,nan,nan,nan,0.0
nan,nan,nan,nan,nan,nan,nan,nan,26.16666666666667
22.9,27.4,19.8,-,87.0,6.6,4.1,5.4,76.875
23.2,27.5,20.5,-,87.0,6.9,3.0,5.4,83.45833333333333
23.0,27.5,20.6,-,84.0,4.8,4.4,5.4,71.66666666666667
nan,nan,nan,nan,nan,nan,nan,nan,65.625
nan,nan,nan,nan,nan,nan,nan,nan,53.375
nan,nan,nan,nan,nan,nan,nan,nan,56.08333333333334
23.2,28.8,20.5,-,81.0,6.3,7.6,11.1,69.70833333333333
22.1,28.4,20.6,-,85.0,6.9,8.0,18.3,62.375
23.1,27.9,20.2,-,80.0,6.9,5.9,11.1,24.875
nan,nan,nan,nan,nan,nan,nan,nan,37.333333333333336
nan,nan,nan,nan,nan,nan,nan,nan,50.125
nan,nan,nan,nan,nan,nan,nan,nan,46.54166666666666
23.8,28.3,19.4,-,73.0,7.7,3.9,5.4,43.95833333333334
24.7,30.4,19.5,-,68.0,9.2,5.0,7.6,41.5
24.9,30.8,20.0,-,64.0,7.7,4.4,7.6,38.79166666666666
nan,nan,nan,nan,nan,nan,nan,nan,48.91666666666666
nan,nan,nan,nan,nan,nan,nan,nan,76.91666666666667
nan,nan,nan,nan,nan,nan,nan,nan,34.458333333333336
23.8,29.5,19.6,-,73.0,6.9,5.0,7.6,30.33333333333333
24.2,29.5,21.1,-,73.0,6.9,6.3,11.1,26.66666666666667
23.6,28.9,20.3,-,72.0,6.3,4.8,7.6,29.0
nan,nan,nan,nan,nan,nan,nan,nan,34.25
nan,nan,nan,nan,nan,nan,nan,nan,62.70833333333334
nan,nan,nan,nan,nan,nan,nan,nan,65.08333333333333
24.8,30.0,20.2,-,73.0,7.7,4.1,5.4,61.70833333333334
23.9,30.0,21.1,-,81.0,6.3,3.1,5.4,60.54166666666666
23.2,28.4,19.2,-,80.0,6.3,3.7,9.4,41.583333333333336
nan,nan,nan,nan,nan,nan,nan,nan,50.91666666666666
nan,nan,nan,nan,nan,nan,nan,nan,40.958333333333336
nan,nan,nan,nan,nan,nan,nan,nan,60.66666666666666
23.9,28.9,20.0,-,71.0,6.9,6.7,7.6,80.04166666666667
24.9,30.8,20.6,-,70.0,6.9,4.8,7.6,82.83333333333333
24.1,30.8,21.6,-,79.0,6.3,3.3,5.4,95.25
nan,nan,nan,nan,nan,nan,nan,nan,115.83333333333331
nan,nan,nan,nan,nan,nan,nan,nan,149.66666666666666
nan,nan,nan,nan,nan,nan,nan,nan,145.58333333333334
24.4,30.5,20.3,-,72.0,6.9,1.5,7.6,126.16666666666669
21.9,30.4,20.1,-,81.0,6.3,0.9,5.4,136.70833333333334
21.5,27.2,19.5,-,85.0,6.9,2.6,7.6,160.66666666666666
nan,nan,nan,nan,nan,nan,nan,nan,173.58333333333337
nan,nan,nan,nan,nan,nan,nan,nan,168.625
nan,nan,nan,nan,nan,nan,nan,nan,174.66666666666663
23.2,27.0,20.7,-,81.0,6.3,3.3,5.4,245.66666666666663
23.4,29.4,20.7,-,78.0,6.9,4.3,5.4,261.6666666666667
23.3,29.4,19.8,-,80.0,5.5,3.5,5.4,272.4166666666667
nan,nan,nan,nan,nan,nan,nan,nan,226.29166666666663
nan,nan,nan,nan,nan,nan,nan,nan,291.7083333333333
nan,nan,nan,nan,nan,nan,nan,nan,207.33333333333331
23.4,28.7,18.6,-,71.0,6.3,1.3,5.4,149.625
24.2,29.6,19.6,-,73.0,6.9,2.2,5.4,99.70833333333331
23.3,29.6,19.9,-,80.0,5.8,3.9,7.6,217.375
22.9,29.0,20.0,-,78.0,6.0,4.3,7.6,309.375
nan,nan,nan,nan,nan,nan,nan,nan,166.91666666666666
nan,nan,nan,nan,nan,nan,nan,nan,429.16666666666674
nan,nan,nan,nan,nan,nan,nan,nan,332.4583333333333
23.3,29.0,19.0,-,69.0,6.3,2.8,5.4,321.5416666666667
22.2,29.0,18.4,-,69.0,6.9,1.5,5.4,278.0
22.2,28.2,17.3,-,68.0,6.9,2.2,5.4,192.33333333333331
nan,nan,nan,nan,nan,nan,nan,nan,235.33333333333331
nan,nan,nan,nan,nan,nan,nan,nan,153.29166666666666
nan,nan,nan,nan,nan,nan,nan,nan,171.54166666666666
21.8,28.6,18.5,-,71.0,6.3,0.0,-,224.16666666666663
22.0,28.0,17.8,-,67.0,5.5,1.1,3.5,196.75
21.4,28.0,15.6,-,63.0,6.3,1.1,3.5,221.54166666666663
nan,nan,nan,nan,nan,nan,nan,nan,210.54166666666663
nan,nan,nan,nan,nan,nan,nan,nan,251.20833333333331
nan,nan,nan,nan,nan,nan,nan,nan,172.83333333333337
22.4,29.0,16.8,-,74.0,6.3,1.9,3.5,166.70833333333334
22.3,29.0,18.2,-,68.0,6.3,1.3,3.5,130.70833333333334
